model,start_node,end_node,choice
decision_tree.decisiontreepath,1,2,Yes
decision_tree.decisiontreepath,1,17,No
decision_tree.decisiontreepath,2,3,Yes
decision_tree.decisiontreepath,2,45,No
decision_tree.decisiontreepath,3,4,Yes
decision_tree.decisiontreepath,3,5,No
decision_tree.decisiontreepath,4,6,Inferences concerning means
decision_tree.decisiontreepath,4,12,Inferences concerning variances
decision_tree.decisiontreepath,5,8,Yes
decision_tree.decisiontreepath,5,9,No
decision_tree.decisiontreepath,6,10,Yes
decision_tree.decisiontreepath,6,11,No
decision_tree.decisiontreepath,8,13,Yes
decision_tree.decisiontreepath,8,14,No
decision_tree.decisiontreepath,9,15,Yes
decision_tree.decisiontreepath,9,16,No
decision_tree.decisiontreepath,17,18,Yes
decision_tree.decisiontreepath,17,19,No
decision_tree.decisiontreepath,18,20,Yes
decision_tree.decisiontreepath,18,21,No
decision_tree.decisiontreepath,19,22,Continuous 
decision_tree.decisiontreepath,19,23,Binary
decision_tree.decisiontreepath,20,24,Yes
decision_tree.decisiontreepath,20,25,No
decision_tree.decisiontreepath,21,26,Yes
decision_tree.decisiontreepath,21,27,No
decision_tree.decisiontreepath,23,66,Yes
decision_tree.decisiontreepath,23,28,No
decision_tree.decisiontreepath,25,29,Yes
decision_tree.decisiontreepath,25,30,No
decision_tree.decisiontreepath,26,31,1
decision_tree.decisiontreepath,26,32,2
decision_tree.decisiontreepath,26,33,More than 2
decision_tree.decisiontreepath,27,30,Yes
decision_tree.decisiontreepath,27,34,Both variables categorical
decision_tree.decisiontreepath,31,35,Yes
decision_tree.decisiontreepath,31,36,No
decision_tree.decisiontreepath,32,37,Yes
decision_tree.decisiontreepath,32,38,No
decision_tree.decisiontreepath,33,39,Yes
decision_tree.decisiontreepath,33,40,No
decision_tree.decisiontreepath,34,41,Association
decision_tree.decisiontreepath,34,42,Reproducibility
decision_tree.decisiontreepath,35,43,Yes
decision_tree.decisiontreepath,35,44,No
decision_tree.decisiontreepath,45,46,Yes
decision_tree.decisiontreepath,45,61,No
decision_tree.decisiontreepath,46,47,Yes
decision_tree.decisiontreepath,46,48,No
decision_tree.decisiontreepath,47,56,Inferences concerning means
decision_tree.decisiontreepath,47,49,Inferences concerning variances
decision_tree.decisiontreepath,48,50,Yes
decision_tree.decisiontreepath,48,51,No
decision_tree.decisiontreepath,50,52,Yes
decision_tree.decisiontreepath,50,53,No
decision_tree.decisiontreepath,51,90,Yes
decision_tree.decisiontreepath,51,54,No
decision_tree.decisiontreepath,52,79,Yes
decision_tree.decisiontreepath,52,55,No
decision_tree.decisiontreepath,56,57,Yes
decision_tree.decisiontreepath,56,58,No
decision_tree.decisiontreepath,57,59,Yes
decision_tree.decisiontreepath,57,60,No
decision_tree.decisiontreepath,61,62,Yes
decision_tree.decisiontreepath,61,63,No
decision_tree.decisiontreepath,63,64,Yes
decision_tree.decisiontreepath,63,65,No
decision_tree.decisiontreepath,66,67,Yes
decision_tree.decisiontreepath,66,68,No
decision_tree.decisiontreepath,68,69,Yes
decision_tree.decisiontreepath,68,70,No
decision_tree.decisiontreepath,69,71,Yes
decision_tree.decisiontreepath,69,72,Interested in test of trend over more than two exposure groups
decision_tree.decisiontreepath,70,73,Yes
decision_tree.decisiontreepath,70,74,Interested in effects of several risk factors on survival
decision_tree.decisiontreepath,71,75,Yes
decision_tree.decisiontreepath,71,76,No
decision_tree.decisiontreepath,74,77,Yes
decision_tree.decisiontreepath,74,78,No
decision_tree.decisiontreepath,79,80,Yes
decision_tree.decisiontreepath,79,81,No
decision_tree.decisiontreepath,80,82,Yes
decision_tree.decisiontreepath,80,83,No
decision_tree.decisiontreepath,81,84,Yes
decision_tree.decisiontreepath,81,85,"R x C contingency table, where R > 2, C > 2"
decision_tree.decisiontreepath,84,86,Yes
decision_tree.decisiontreepath,84,87,No
decision_tree.decisiontreepath,86,88,Yes
decision_tree.decisiontreepath,86,89,No
decision_tree.decisiontreepath,90,91,Yes
decision_tree.decisiontreepath,90,92,No
decision_tree.decisiontreepath,92,93,Yes
decision_tree.decisiontreepath,92,94,No
decision_tree.decisiontreepath,93,95,Yes
decision_tree.decisiontreepath,93,96,No
decision_tree.decisiontreepath,94,97,Yes
decision_tree.decisiontreepath,94,98,Interested in effects of several risk factors on survival
decision_tree.decisiontreepath,95,99,Yes
decision_tree.decisiontreepath,95,100,No
decision_tree.decisiontreepath,98,101,Yes
decision_tree.decisiontreepath,98,102,No
